product_id,category,product_name,brand,intro_description,price,currency,image,specs,features,warranty
1,Mouse,Logitech M185 Wireless Mouse,Logitech,Compact 2.4GHz wireless mouse ideal for everyday use with plug-and-play Nano receiver.,799,INR,https://i5.walmartimages.com/seo/Logitech-M185-Wireless-Computer-Mouse_d2506bec-bd8a-4ef7-b27b-38e85d1b8025_1.30602153060b8b0e36fa938e6fe1fbde.jpeg?odnHeight=640&odnWidth=640&odnBg=FFFFFF,Sensor: Optical 1000 DPI; Connectivity: 2.4GHz USB receiver; Battery: 1x AA up to 12 months; Weight: 75g; OS: Windows/macOS/Linux,"Reliable wireless, comfortable ambidextrous design, long battery life, plug-and-play",1 year limited
2,Keyboard,Dell KB216 Wired Keyboard,Dell,Full-size multimedia wired keyboard with quiet keys for office and home.,799,INR,https://media-ik.croma.com/prod/https://media.tatacroma.com/Croma%20Assets/Computers%20Peripherals/Computer%20Accessories%20and%20Tablets%20Accessories/Images/242603_4_X1qtt2JPY.png?updatedAt=1758553419539,Layout: Full-size with numpad; Connection: USB-A; Cable: 1.5m; Keys: 104 membrane; Compatibility: Windows/Linux,"Quiet typing, spill-resistant design, durable build",1 year manufacturer
3,GPU,NVIDIA GeForce RTX 3060 12GB,NVIDIA,Ampere architecture GPU with 12GB GDDR6 for 1080p/1440p gaming and CUDA workloads.,24999,INR,https://m.media-amazon.com/images/I/71tduSp8ooL.jpg,"CUDA Cores: 3584; VRAM: 12GB GDDR6; Boost Clock: ~1.78 GHz; Ports: HDMI 2.1, DP 1.4a; Power: 170W","Ray tracing, DLSS, NVIDIA Encoder, Reflex",3 years limited
4,CPU,Intel Core i5-12400F,Intel,6-core 12-thread Alder Lake processor ideal for gaming and productivity.,13999,INR,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/2df1622e-5d00-4abe-989b-a5ddc55e9aa8.__CR0,0,970,600_PT0_SX970_V1___.jpg",Cores/Threads: 6/12; Base/Boost: 2.5/4.4 GHz; Socket: LGA1700; TDP: 65W; iGPU: None,"PCIe 5.0/4.0 support, DDR4/DDR5 support",3 years manufacturer
5,Headphones,Sony WH-CH520 Wireless Headphones,Sony,On-ear Bluetooth headphones with long battery life and DSEE for enhanced sound.,4499,INR,https://m.media-amazon.com/images/I/61+X1fW0w+L._SL1500_.jpg,Driver: 30mm; Battery: Up to 50 hours; Codec: SBC/AAC; Weight: ~147g; Mic: Built-in,"Multipoint connection, voice assistant support, fast charging",1 year
6,Monitor,LG 24MP60G 24-inch IPS Monitor,LG,1080p IPS display with 75Hz refresh and 1ms MBR for smooth visuals.,9999,INR,https://www.lg.com/in/images/monitors/md07550743/gallery/medium01.jpg,"Size: 23.8-inch; Panel: IPS; Resolution: 1920x1080; Refresh: 75Hz; Ports: HDMI, DP, Headphone","AMD FreeSync, Reader Mode, 3-side borderless",3 years
7,SSD,Samsung 980 500GB NVMe SSD,Samsung,PCIe 3.0 NVMe SSD delivering fast boot and load times.,3499,INR,https://images.samsung.com/is/image/samsung/p6pim/in/mz-v8v500bw/gallery/in-980-ssd-mz-v8v500bw-370036-370036-01black-431315316?$684_547_PNG$,Form Factor: M.2 2280; Interface: PCIe 3.0 x4 NVMe; Seq Read/Write: Up to 3500/3000 MB/s; TBW: 300,"Full Power Mode, NVMe 1.4, Thermal control",5 years limited
8,HDD,"Seagate Barracuda 2TB 3.5"" HDD",Seagate,Reliable desktop hard drive for mass storage and backups.,4999,INR,https://www.seagate.com/content/dam/seagate/migrated-assets/www-content/products/hard-drives/barracuda-fam-B_UPR-angled-left-400x400.png,Capacity: 2TB; RPM: 7200; Cache: 256MB; Interface: SATA 6Gb/s; Form factor: 3.5-inch,"Multi-tier caching, low power",2 years
9,Motherboard,ASUS PRIME B660M-A D4,ASUS,Micro-ATX LGA1700 board for 12th/13th Gen Intel with DDR4 support.,11999,INR,https://dlcdnets.asus.com/images/product/202112/20211223115028-1000x1000.jpg,"Form factor: mATX; Chipset: B660; Memory: 4x DDR4; Storage: 2x M.2, 4x SATA; Expansion: PCIe 4.0 x16","AI Cooling, Aura Sync, 2.5G LAN (model dependent)",3 years
10,PSU,Corsair CV550 550W 80+ Bronze,Corsair,Entry-level 80+ Bronze power supply for budget builds.,3899,INR,https://www.corsair.com/medias/sys_master/images/images/h5f/h5f/9482716035102/base-cv550-psu-01.png,"Wattage: 550W; Efficiency: 80+ Bronze; Fan: 120mm; Form factor: ATX; Connectors: 1x 24-pin, 1x 8-pin EPS, PCIe, SATA","Low-noise operation, continuous power delivery",3 years
11,Cabinet,Antec NX200 Mid Tower Case,Antec,Budget-friendly mid tower with tempered glass side panel.,3299,INR,https://www.antec.com/uploads/product/product_sub_image/product_main_image/Antec/NX200/nx200-main.png,"Form factor: ATX/mATX/Mini-ITX; Bays: 2x 3.5"", 2x 2.5""; Fans: Front 3x120mm, Rear 1x120mm; GPU: up to 330mm","Tempered glass, RGB front panel",1 year
12,Router,TP-Link Archer C6 Gigabit Router,TP-Link,1200 Mbps dual-band Wi‑Fi router with MU-MIMO.,2199,INR,https://static.tp-link.com/Archer_C6_5.0_1_large_1556258609547h.jpg,"Wi‑Fi: AC1200; Ports: 4x Gigabit LAN, 1x Gigabit WAN; Antennas: 4 external + 1 internal; Modes: Router/Access Point","MU-MIMO, Beamforming, OneMesh support",3 years
13,Webcam,Logitech C270 HD Webcam,Logitech,720p HD webcam with noise-reducing mic for clear video calls.,1499,INR,https://images.logitech.com/assets/52820/3/c270-gallery.png,Resolution: 720p/30fps; FOV: 60°; Focus: Fixed; Mic: Mono; Connection: USB-A,"Auto light correction, universal clip",1 year
14,Keyboard,TVS Gold Bharat Mechanical Keyboard,TVS Electronics,Indian layout mechanical keyboard known for durability and typing feel.,2799,INR,https://www.tvs-e.in/wp-content/uploads/2020/08/Gold-Bharat-1-1.png,Switch: Long-life mechanical; Layout: Full-size; Connection: USB; Keycaps: Laser etched,"Rugged build, high key life, Indian layout",1 year
15,Mouse,HP X1000 Wired Mouse,HP,Affordable wired optical mouse with 3 buttons and scroll wheel.,349,INR,https://m.media-amazon.com/images/I/61mu0fW8WVL._SL1500_.jpg,Sensor: Optical; DPI: 1600; Connection: USB-A; Cable: 1.5m; Design: Ambidextrous,"Plug-and-play, smooth cursor control",1 year
16,CPU Cooler,Cooler Master Hyper 212 Black Edition,Cooler Master,Tower air cooler with black aluminum top cover for efficient cooling.,2999,INR,https://static.coolermaster.com/media/1190/hyper-212-black-edition-gallery-1-zoom.png,"Heatsink: 4 heatpipes; Fan: 120mm PWM; Noise: 8–27 dBA; Socket: Intel LGA1200/1700, AMD AM4/AM5","Direct Contact heatpipes, wide compatibility",2 years
